model,params,split,L,nX,nY,nD_AB,S_AB,ratio_AB,gain_AB,c_eff_AB,nD_BA,S_BA,ratio_BA,gain_BA,c_eff_BA,best,gain_best,ratio_best
Heis XXZ,Δ=2.0,even/odd,8,434.26465599963143,545.624958687282,205.22914246844397,353.5385676716362,0.5805000111304947,0.41949998886950535,0.1951219512195122,251.84908526495764,381.37864334354884,0.660364940881312,0.33963505911868797,0.15384615384615385,AB,0.41949998886950535,0.5805000111304947
Heis XXZ,Δ=2.0,even/odd,10,591.5011197772251,683.804682784244,281.0567547575904,466.70173058467356,0.6022192255543787,0.3977807744456213,0.18285714285714286,325.33707088297786,489.7776213364283,0.6642546672411228,0.3357453327588772,0.15384615384615385,AB,0.3977807744456213,0.6022192255543787
TFIM,h=0.5,even/odd,4,3.054805765310468,3.357773332471265,1.2080137279776453,2.3668462157730503,0.510389614638773,0.48961038536122703,0.7297297297297297,1.3538789811117709,2.4425881075632496,0.5542805096445074,0.44571949035549263,0.6585365853658537,AB,0.48961038536122703,0.510389614638773
TFIM,h=0.5,even/odd,6,5.899148648247028,6.210839661660923,2.317733923291779,4.502284239538745,0.5147906706861379,0.48520932931386207,0.6623376623376623,2.4709802578134394,4.580206992892219,0.5394909578645732,0.46050904213542676,0.6296296296296297,AB,0.48520932931386207,0.5147906706861379
TFIM,h=0.5,even/odd,8,8.696421028065679,9.003607852076977,3.4152567333511485,6.599112477052083,0.5175327356864194,0.48246726431358056,0.6410256410256411,3.5709363517887502,6.675909183054908,0.5348988810172345,0.4651011189827655,0.6198347107438017,AB,0.48246726431358056,0.5175327356864194
TFIM,h=0.5,even/odd,10,11.476930973223588,11.776870719423796,4.510591877544341,8.682683166467744,0.5194928561903662,0.4805071438096338,0.6305732484076433,4.666964195316893,8.757668103017796,0.5329003269384813,0.46709967306151867,0.6149068322981367,AB,0.4805071438096338,0.5194928561903662
TFIM,h=1.0,even/odd,4,7.360287236656885,9.21017858326213,4.169165026970138,5.982688264143975,0.6968715137569812,0.3031284862430188,0.23076923076923078,4.831933760550158,6.445161100795286,0.7496994543633568,0.25030054563664317,0.17647058823529413,AB,0.3031284862430188,0.6968715137569812
TFIM,h=1.0,even/odd,6,14.301196820307199,16.248343536105175,8.115025675464617,11.212684294179894,0.7237362136091567,0.27626378639084326,0.10344827586206896,8.799064925277783,11.699470973129387,0.7520908377384691,0.24790916226153092,0.09090909090909091,AB,0.27626378639084326,0.7237362136091567
TFIM,h=1.0,even/odd,8,21.14273246688244,23.127489194809797,12.065360462031611,16.35323853214367,0.7377963966168614,0.26220360338313864,0.06666666666666667,12.753261349236512,16.849427714125508,0.7568958166184466,0.24310418338155337,0.061224489795918366,AB,0.26220360338313864,0.7377963966168614
TFIM,h=1.0,even/odd,10,27.954468550404705,29.943048926606803,16.020809107922407,21.462996506854054,0.7464386020286718,0.25356139797132815,0.04918032786885246,16.708916944695417,21.960141600904578,0.7608747360721548,0.23912526392784517,0.046153846153846156,AB,0.25356139797132815,0.7464386020286718
TFIM,h=2.0,even/odd,4,22.22765694606711,31.276127729247616,15.946914444463344,18.93286040534546,0.8422876471407844,0.1577123528592156,-0.42857142857142855,18.69938832681126,21.194978101140585,0.882255609681662,0.11774439031833805,-0.2727272727272727,AB,0.1577123528592156,0.8422876471407844
TFIM,h=2.0,even/odd,6,44.16221887182134,53.537993218940116,31.25491614065992,35.465607740645694,0.8812739476853777,0.1187260523146223,-0.5294117647058824,34.07479394840634,37.809551327425396,0.9012218540580769,0.09877814594192313,-0.42857142857142855,AB,0.1187260523146223,0.8812739476853777
TFIM,h=2.0,even/odd,8,66.10508309457248,75.59908411029896,46.63600868492255,51.95231257486098,0.8976695429625414,0.10233045703745858,-0.5555555555555556,49.464659905333875,54.3258128287926,0.9105185422852555,0.08948145771474447,-0.4838709677419355,AB,0.10233045703745858,0.8976695429625414
TFIM,h=2.0,even/odd,10,88.09450420697567,97.63652054493934,62.03807658364221,68.45638223972267,0.9062424065355273,0.09375759346447265,-0.5675675675675675,64.86428228420765,70.84188632421359,0.9156204845725174,0.08437951542748257,-0.5121951219512195,AB,0.09375759346447265,0.9062424065355273
TFIM,h=0.5,ZZ/field,4,8.944271909999161,14.422205101855958,5.549590883221278,8.077687230463571,0.6870272052985631,0.3129727947014369,0.0,7.457429029218863,9.447170528427769,0.7893822818989544,0.21061771810104557,0.0,AB,0.3129727947014369,0.6870272052985631
TFIM,h=0.5,ZZ/field,6,13.975836829739734,24.626777308752725,8.919609771022333,13.144612742058047,0.6785753179690703,0.32142468203092966,0.0,12.666798284410724,15.807347861811296,0.8013234348446413,0.1986765651553587,0.0,AB,0.32142468203092966,0.6785753179690703
TFIM,h=0.5,ZZ/field,8,19.035081932574535,34.806227198109355,12.304340802126859,18.219097765814606,0.6753540136995204,0.3246459863004796,0.0,17.864237415513664,22.161884082198313,0.8060793635259214,0.19392063647407864,0.0,AB,0.3246459863004796,0.6753540136995204
TFIM,h=0.5,ZZ/field,10,24.106696733329077,44.981844834141185,15.694375790088229,23.298809575199833,0.6736127757700521,0.3263872242299479,0.0,23.05899190590808,28.51759660040286,0.8085881930731263,0.19141180692687365,0.0,AB,0.3263872242299479,0.6736127757700521
TFIM,h=1.0,ZZ/field,4,35.777087639996644,28.844410203711917,18.997525675905514,25.0996463709263,0.7568841965005108,0.24311580349948925,0.0,16.443347340765552,23.366477011855117,0.7037152983063268,0.29628470169367316,0.0,BA,0.29628470169367316,0.7037152983063268
TFIM,h=1.0,ZZ/field,6,55.903347318958936,49.25355461750545,29.920243735930004,40.26506231385583,0.7430820174251658,0.2569179825748342,0.0,27.449805952162727,38.602614138492456,0.7110867117362203,0.2889132882637797,0.0,BA,0.2889132882637797,0.7110867117362203
TFIM,h=1.0,ZZ/field,8,76.14032773029814,69.61245439621871,40.89572111549703,55.47327746420375,0.7372147993578811,0.26278520064211885,0.0,38.47977487977002,53.84130913068389,0.7146886935154515,0.2853113064845485,0.0,BA,0.2853113064845485,0.7146886935154515
TFIM,h=1.0,ZZ/field,10,96.42678693331631,89.96368966828237,51.89393469596824,70.70431588372875,0.733957100742002,0.26604289925799796,0.0,49.509784078543866,69.08854156747026,0.7166135361273152,0.28338646387268485,0.0,BA,0.28338646387268485,0.7166135361273152
TFIM,h=2.0,ZZ/field,4,143.10835055998658,57.68882040742383,72.670007726898,85.97638038184925,0.845232230109557,0.15476776989044305,0.0,44.39672706577022,64.62149784370857,0.6870272052985631,0.3129727947014369,0.0,BA,0.3129727947014369,0.6870272052985631
TFIM,h=2.0,ZZ/field,6,223.61338927583574,98.5071092350109,113.78306243178024,136.4334719466706,0.8339820192823063,0.1660179807176937,0.0,71.35687816817867,105.15690193646438,0.6785753179690703,0.32142468203092966,0.0,BA,0.32142468203092966,0.6785753179690703
TFIM,h=2.0,ZZ/field,8,304.56131092119256,139.22490879243742,155.11435832118218,187.08688265870563,0.8291033348615385,0.17089666513846147,0.0,98.43472641701487,145.75278212651685,0.6753540136995204,0.3246459863004796,0.0,BA,0.3246459863004796,0.6753540136995204
TFIM,h=2.0,ZZ/field,10,385.70714773326523,179.92737933656474,196.54237254807308,237.8354187007738,0.8263797445381654,0.17362025546183457,0.0,125.55500632070583,186.39047660159866,0.6736127757700521,0.3263872242299479,0.0,BA,0.3263872242299479,0.6736127757700521
LTFIM,"hx=1, hz=0.5",ZZ/field,4,37.69771560359222,28.844410203711917,20.106234851509274,26.05996035272409,0.7715374305781527,0.22846256942184728,0.0,17.176454672534074,23.846634002754016,0.7202884344411202,0.27971156555887977,0.0,BA,0.27971156555887977,0.7202884344411202
LTFIM,"hx=1, hz=0.5",ZZ/field,6,58.81412639247989,49.25355461750545,31.751077313098325,41.72045185061631,0.76104346680582,0.23895653319417998,0.0,29.09616840458981,39.3303089068727,0.7397899791096086,0.26021002089039136,0.0,BA,0.26021002089039136,0.7397899791096086
LTFIM,"hx=1, hz=0.5",ZZ/field,8,80.04790553873237,69.61245439621871,43.528091224352636,57.42706636842086,0.7579717017947608,0.2420282982052392,0.0,41.09764016387864,54.81820358279245,0.7497078977024207,0.25029210229757926,0.0,BA,0.25029210229757926,0.7497078977024207
LTFIM,"hx=1, hz=0.5",ZZ/field,10,101.33507557184568,89.96368966828237,55.40511843568792,73.15846020299344,0.7573302975753567,0.24266970242464325,0.0,53.08204179494377,70.3156137271026,0.7549111638413207,0.24508883615867927,0.0,BA,0.24508883615867927,0.7549111638413207
